2a06:9f81:3000::/48,KR,KR-11,Seoul,
2a06:9f81:3001::/48,KR,KR-11,Seoul,
2a06:9f81:3011::/48,KR,KR-11,Seoul,
2a06:9f81:3002::/48,US,US-KS,Kansas,
2a06:9f81:3003::/48,US,GB-LND,London,
2a06:9f81:3004::/48,GB,US-KS,Kansas,
2a06:9f81:3013::/48,US,US-KS,Kansas,
2a06:9f81:3030::/48,KR,KR-11,Seoul,
2a06:9f81:3031::/48,JP,JP-13,Tokyo,
